Date,Open,High,Low,Close,Adj Close,Volume
2023-05-09,0.039916,0.042766,0.039395,0.040688,0.040688,565832
2023-05-10,0.040663,0.041862,0.040559,0.041326,0.041326,444254
2023-05-11,0.041346,0.041589,0.040263,0.040883,0.040883,601942
2023-05-12,0.040848,0.041389,0.038511,0.040728,0.040728,911810
2023-05-13,0.040725,0.040863,0.038479,0.040051,0.040051,501967
2023-05-14,0.040038,0.040319,0.038626,0.039228,0.039228,295296
2023-05-15,0.039151,0.040299,0.038561,0.038865,0.038865,435830
2023-05-16,0.038845,0.039640,0.038466,0.039479,0.039479,373026
2023-05-17,0.039462,0.039763,0.038801,0.039191,0.039191,431892
2023-05-18,0.039162,0.039331,0.038507,0.038726,0.038726,307582
2023-05-19,0.038727,0.038921,0.036509,0.036730,0.036730,399095
2023-05-20,0.036720,0.037041,0.035881,0.036479,0.036479,371533
2023-05-21,0.036476,0.037510,0.035930,0.036003,0.036003,387270
2023-05-22,0.036007,0.036093,0.034389,0.034490,0.034490,359412
2023-05-23,0.034495,0.037485,0.034302,0.037334,0.037334,258150
2023-05-24,0.037328,0.037748,0.036903,0.037020,0.037020,311281
2023-05-25,0.037020,0.037028,0.033412,0.033817,0.033817,684915
2023-05-26,0.033813,0.034772,0.033455,0.034434,0.034434,405760
2023-05-27,0.034449,0.034507,0.033853,0.033999,0.033999,202009
2023-05-28,0.033951,0.034158,0.033589,0.033782,0.033782,335840
2023-05-29,0.033761,0.035460,0.033744,0.035010,0.035010,369212
2023-05-30,0.035037,0.035168,0.033578,0.033676,0.033676,66862
2023-05-31,0.033701,0.033977,0.031891,0.032395,0.032395,490184
2023-06-01,0.032408,0.032528,0.027859,0.028194,0.028194,648070
2023-06-02,0.028175,0.030477,0.028091,0.030454,0.030454,408775
2023-06-03,0.030453,0.032147,0.030449,0.031583,0.031583,222353
2023-06-04,0.031570,0.039852,0.031470,0.037838,0.037838,2691349
2023-06-05,0.038067,0.039423,0.030317,0.031728,0.031728,1174043
2023-06-06,0.031721,0.032762,0.030253,0.030661,0.030661,340164
2023-06-07,0.030636,0.040711,0.030603,0.034859,0.034859,2274333
2023-06-08,0.034855,0.039691,0.033044,0.038652,0.038652,1509897
2023-06-09,0.038633,0.040532,0.037528,0.038480,0.038480,541959
2023-06-10,0.038480,0.038500,0.026144,0.030472,0.030472,1171012
2023-06-11,0.030472,0.032090,0.030328,0.031823,0.031823,143478
2023-06-12,0.031821,0.032482,0.031163,0.032399,0.032399,204413
2023-06-13,0.032400,0.035335,0.032129,0.034855,0.034855,582297
2023-06-14,0.034855,0.036064,0.031097,0.033851,0.033851,1068616
2023-06-15,0.033847,0.037257,0.032693,0.035939,0.035939,990302
2023-06-16,0.035938,0.035957,0.034923,0.035339,0.035339,587995
2023-06-17,0.035329,0.035679,0.034816,0.035358,0.035358,315425
2023-06-18,0.035355,0.035770,0.033431,0.033566,0.033566,655200
2023-06-19,0.033545,0.033548,0.031478,0.031734,0.031734,429494
2023-06-20,0.031733,0.032134,0.030277,0.030764,0.030764,404150
2023-06-21,0.030773,0.034300,0.030535,0.033015,0.033015,750402
2023-06-22,0.033010,0.034503,0.031722,0.033906,0.033906,1020152
2023-06-23,0.033903,0.034702,0.031099,0.033316,0.033316,833198
2023-06-24,0.033314,0.034091,0.030767,0.030900,0.030900,523955
2023-06-25,0.030902,0.031491,0.030601,0.031351,0.031351,370029
2023-06-26,0.031340,0.034206,0.030739,0.033440,0.033440,588101
2023-06-27,0.033440,0.034347,0.032119,0.034131,0.034131,646614
2023-06-28,0.034135,0.034888,0.031345,0.031971,0.031971,565290
2023-06-29,0.031971,0.032947,0.031271,0.031271,0.031271,162643
2023-06-30,0.031269,0.033034,0.031269,0.032014,0.032014,334677
2023-07-01,0.031976,0.031977,0.030939,0.031776,0.031776,235064
2023-07-02,0.031776,0.032800,0.029529,0.032068,0.032068,335167
2023-07-03,0.032068,0.032148,0.030489,0.031122,0.031122,362422
2023-07-04,0.031122,0.032012,0.030318,0.030318,0.030318,325473
2023-07-05,0.030320,0.030508,0.029128,0.029469,0.029469,163370
2023-07-06,0.029489,0.029559,0.026054,0.026152,0.026152,359650
2023-07-07,0.026154,0.026982,0.025761,0.026972,0.026972,76826
2023-07-08,0.026971,0.027768,0.026887,0.027758,0.027758,65422
2023-07-09,0.027759,0.029867,0.027664,0.029279,0.029279,85448
2023-07-10,0.029278,0.029282,0.027540,0.028171,0.028171,111839
2023-07-11,0.028174,0.029132,0.028044,0.028883,0.028883,88952
2023-07-12,0.028883,0.028932,0.027512,0.028119,0.028119,250517
